emp_no,first_name,last_name,dept_no,dept_name
10001,Georgi,Facello,d005,Development
10004,Chirstian,Koblick,d004,Production
10009,Sumant,Peac,d006,Quality Management
10018,Kazuhide,Peha,d004,Production
10018,Kazuhide,Peha,d005,Development
10035,Alain,Chappelet,d004,Production
10053,Sanjiv,Zschoche,d007,Sales
10058,Berhard,McFarlin,d001,Marketing
10066,Kwee,Schusler,d005,Development
10067,Claudi,Stavenow,d006,Quality Management
10070,Reuven,Garigliano,d005,Development
10070,Reuven,Garigliano,d008,Research
10072,Hironoby,Sidou,d005,Development
10076,Erez,Ritzmann,d005,Development
10088,Jungsoon,Syrzycki,d007,Sales
10088,Jungsoon,Syrzycki,d009,Customer Service
10100,Hironobu,Haraldson,d003,Human Resources
10103,Akemi,Birch,d005,Development
10108,Lunjin,Giveon,d001,Marketing
10108,Lunjin,Giveon,d003,Human Resources
10116,Dayanand,Czap,d005,Development
10116,Dayanand,Czap,d008,Research
10126,Kayoko,Valtorta,d009,Customer Service
10129,Armond,Peir,d005,Development
10130,Nishit,Casperson,d004,Production
10134,Diederik,Siprelle,d004,Production
10134,Diederik,Siprelle,d005,Development
10138,Perry,Shimshoni,d006,Quality Management
10149,Xiadong,Perry,d007,Sales
10150,Zhenbing,Perng,d005,Development
10152,Jaques,Munro,d006,Quality Management
10153,Heekeun,Majewski,d005,Development
10157,Nigel,Aloisi,d005,Development
10161,Hairong,Mellouli,d004,Production
10186,Shigehito,Kropatsch,d002,Finance
10198,Pranav,Furedi,d005,Development
10215,Xiaobin,Duclos,d007,Sales
10217,Yongmin,Roison,d004,Production
10224,Leon,Trogemann,d004,Production
10229,Ulises,Takanami,d006,Quality Management
10233,Lein,Vendrig,d003,Human Resources
10258,Basil,Ishibashi,d005,Development
10272,Yishai,Cannane,d002,Finance
10282,Hercules,Benzmuller,d004,Production
10283,Kauko,Birjandi,d005,Development
10286,Saddek,Gopalakrishnan,d009,Customer Service
10302,Faiza,Baer,d007,Sales
10305,Hirochika,Piancastelli,d005,Development
10326,Masali,Czap,d008,Research
10327,Roded,Facello,d005,Development
10327,Roded,Facello,d008,Research
10340,Djelloul,Laventhal,d001,Marketing
10347,Pradeep,Kaminger,d008,Research
10355,Satyanarayana,Cochrane,d007,Sales
10356,Vasilis,Standera,d008,Research
10363,Toshiki,Muniz,d004,Production
10363,Toshiki,Muniz,d006,Quality Management
10364,Nakhoon,Dengi,d004,Production
10372,Anneli,Frijda,d004,Production
10387,Parto,Wrigley,d009,Customer Service
10395,Takahiro,Deverell,d005,Development
10396,Sibyl,Rahier,d005,Development
10402,Volkmar,Ebeling,d006,Quality Management
10404,Prodip,Rosti,d005,Development
10426,Arunas,Luce,d005,Development
10429,Martien,Improta,d005,Development
10432,Hisao,Tiemann,d009,Customer Service
10442,Volkmar,Unno,d007,Sales
10451,Bodh,Ranta,d004,Production
10453,Tsvetan,Matzel,d009,Customer Service
10463,Ung,Zaiane,d007,Sales
10466,Jiakeng,Himler,d009,Customer Service
10486,Amstein,Kossowski,d006,Quality Management
10494,Yakkov,Servieres,d004,Production
10504,Xiong,Varker,d007,Sales
10512,Udi,Gihr,d003,Human Resources
10519,Yonghoan,Alencar,d005,Development
10519,Yonghoan,Alencar,d008,Research
10522,Marke,Cesareni,d003,Human Resources
10538,Przemyslawa,Falby,d004,Production
10538,Przemyslawa,Falby,d005,Development
10541,Godehard,Eiter,d007,Sales
10548,Ramalingam,Gunderson,d001,Marketing
10548,Ramalingam,Gunderson,d007,Sales
10564,Jianhao,Thisen,d004,Production
10575,Theirry,Yeung,d004,Production
10591,Hidde,Hettesheimer,d001,Marketing
10608,Adhemar,Talmor,d004,Production
10617,Hidekazu,Angel,d009,Customer Service
10623,Aleksander,Danlos,d005,Development
10623,Aleksander,Danlos,d008,Research
10628,Krisda,Krogh,d005,Development
10629,Lalit,Francisci,d007,Sales
10631,Inderjeet,Chaudhuri,d005,Development
10642,Hirochika,Narlikar,d005,Development
10653,Otmar,Feinberg,d005,Development
10671,Parviz,Rebaine,d003,Human Resources
10672,Bluma,Zeilberger,d004,Production
10676,Valeri,Danley,d005,Development
10693,Berhard,Daescu,d009,Customer Service
10694,Rildo,Straney,d001,Marketing
10702,Bader,Szemeredi,d005,Development
10718,Adib,Rullman,d005,Development
10726,Zita,Minakawa,d005,Development
10731,Fumitaka,Peak,d002,Finance
10734,Sachar,Erdi,d004,Production
10745,Poorav,Ranze,d004,Production
10749,King,Brendel,d004,Production
10751,Jordanka,Ushiama,d005,Development
10767,Monique,Doering,d007,Sales
10768,Ishfaq,Candan,d004,Production
10777,Mizuhito,Kemmerer,d004,Production
10778,Selwyn,Merey,d001,Marketing
10791,Tadahiko,Sgarro,d005,Development
10795,Supot,Naudin,d007,Sales
10803,Katsuyuki,Velasco,d006,Quality Management
10808,Chenxi,Leijenhorst,d005,Development
10835,Tomoyuki,Kermarrec,d004,Production
10836,Jianhua,Leivant,d007,Sales
10836,Jianhua,Leivant,d009,Customer Service
10844,Dipayan,Koprowski,d005,Development
10847,Theirry,Danley,d008,Research
10848,Fen,Bratsberg,d004,Production
10867,Billur,Gyorkos,d004,Production
10878,Lakshmi,Deville,d007,Sales
10879,Muzhong,Chleq,d005,Development
10883,Shimshon,Champarnaud,d004,Production
10895,Vishwani,Petersohn,d007,Sales
10895,Vishwani,Petersohn,d009,Customer Service
10909,Georgi,Atchley,d005,Development
10912,Oscal,Fasbender,d002,Finance
10918,Susumu,Reghbati,d002,Finance
10921,Mara,Bahi,d004,Production
10924,Hironoby,Atchley,d007,Sales
10927,Gal,Scallan,d001,Marketing
10936,Mountaz,Schicker,d003,Human Resources
10943,Berna,Skafidas,d005,Development
10965,Eckart,Braunschweig,d007,Sales
10969,Premal,Noriega,d005,Development
10974,Muneo,Papsdorf,d005,Development
10986,Masako,Schiper,d005,Development
10988,Chinya,Deyuan,d005,Development
10989,Sumali,Candan,d002,Finance
10990,Shin,Foote,d005,Development
11009,Alper,Axelband,d007,Sales
11012,Taegyun,Speckmann,d001,Marketing
11012,Taegyun,Speckmann,d009,Customer Service
11019,Leon,Huttel,d005,Development
11021,Srinidhi,Henders,d008,Research
11027,Remzi,Cappello,d004,Production
11028,Miyeon,Krider,d004,Production
11031,Ottavia,Walstra,d001,Marketing
11037,Lansing,Maliniak,d004,Production
11038,Jinya,Beidas,d008,Research
11042,Gou,Breugel,d005,Development
11048,Jaques,Demke,d007,Sales
11050,Elvis,Katiyar,d001,Marketing
11051,Przemyslawa,Erol,d004,Production
11070,Adib,Raney,d006,Quality Management
11081,Barry,Boyle,d002,Finance
11085,Hailing,Thummel,d004,Production
11100,Berna,Cochrane,d008,Research
11106,Aris,Iwayama,d005,Development
11110,Valeska,Birjandi,d004,Production
11110,Valeska,Birjandi,d009,Customer Service
11112,Boaz,Mukaidono,d009,Customer Service
11113,Shahab,Peng,d001,Marketing
11121,Vugranam,Kakkad,d005,Development
11133,Nalini,Azulay,d006,Quality Management
11134,Sachar,Rajcani,d006,Quality Management
11137,Hugh,Luca,d005,Development
11139,Bogdan,Homond,d009,Customer Service
11146,Ishfaq,Masand,d007,Sales
11148,Zhanqiu,Botman,d002,Finance
11148,Zhanqiu,Botman,d003,Human Resources
11162,Kauko,Narlikar,d005,Development
11180,Mitsuyuki,Bojadziev,d005,Development
11197,Tadahiro,Fordan,d007,Sales
11203,Sakthirel,Yetto,d002,Finance
11204,Diederik,Covnot,d004,Production
11207,Saeed,Gips,d005,Development
11208,Saniya,Valtorta,d004,Production
11211,Yurij,Rissland,d004,Production
11217,Kellie,Mawatari,d004,Production
11232,Hidefumi,Crelier,d009,Customer Service
11240,Kiam,Condotta,d005,Development
11249,Randi,Cyre,d005,Development
11251,Bezalel,Chinal,d001,Marketing
11268,Aimee,Petersohn,d004,Production
